Detroit,USA,16234 Plymouth Rd Detroit MI  USA 48227,(313)2738643,MI,16234 Plymouth Rd,48227,Glenn's Barber Shop,42.3727,-83.205675
Las Vegas,USA,5625 S Rainbow Blvd Las Vegas NV 89118,(702)7354287,NV,5625 S Rainbow Blvd,89118,HATS OFF BARBER SHOP,36.086298,-115.243554
Lansing,USA,2305 E Michigan Ave Lansing MI,(517)7020636,MI,2305 E Michigan Avenue,48912,Barber Love Barber Shop,42.733929,-84.518448
New Orleans,USA,4711 Downman Rd New Orleans LA 70126,(504)2430500,LA,4711 Downman Road,70126,Above Only Barber,30.017256,-90.0212816
Alexandria,USA,"426 Hume Ave Alexandria, VA 22301��_",(703)6833356,VA,426 Hume Avenue,22301,Hands In Motion 2,38.831679,-77.051605
Dallas,USA,"13450 Inwood Rd Ste 150 Dallas, TX 75234",(817)2397620,TX,13450 Inwood Road,75234,Stars Barber Lounge,32.92961,-96.821637
Oakland,USA,180 2nd Street Oakland CA 94607,(510)8348330,CA,180 2nd Street,94607,Charles Blades Barber Spa,37.7938373,-122.2695893
Los Angeles,USA,"11143 S Western Ave Los Angeles, CA 90047",(323)4041094,CA,11143 S Western Avenue,90047,Xtreme Styles,33.932543,-118.309425
Little Rock,USA,5200 Mabelvale Pike Little Rock AR 72209,(501)5654210,AR,5202 Mabelvale Pike,72209,King Of Fades Barber Shop,34.7023576,-92.337352
New York,USA,137 West 28th Street New York NY 10001,(212)2901111,NY,137 West 28th Street,10001,Behind the Scenes Grooming,40.746872,-73.992054
Phoenix,USA,"4910 E Chandler Blvd Ste 103 Phoenix, AZ 85048",(480)2644430,AZ,4910 E Chandler Blvd,85048,The Shop By Leftys,33.306608,-111.977133
Randallstown,USA,9405 Liberty Road Randallstown MD 2113,(410)5218337,MD,9405 Liberty Road,21133,Theo'z Barbershop,39.373217,-76.80873
Greensboro,USA,1314 Lees Chapel Rd Greensboro NC 27455,(336)3751888,NC,1314 Lees Chapel Road,27455,Motivations Barber Shop Inc,36.134119,-79.787226
Fort Wayne,USA,2104 S Clinton St Fort Wayne IN 46803,(260)4568994,IN,2104 S Clinton Street,46803,Jerrells Barber Shop,41.0661962,-85.1369922
Jersey City,USA,"1138 Summit Ave, Jersey City, NJ 07307",(201)4200092,NJ,1138 Summit Avenue,7307,City Barbers,40.753794,-74.046691
New York,USA,299 E 52nd S New York NY USA 10022,(212)9353066,NY,299 E 52nd S,10022,Premium Barber Shop,40.75632289,-73.96762452
Phoenix,USA,"1930 E Broadway Rd, Phoenix, AZ 85040",(602)2769982,AZ,1930 E Broadway Road,85040,FADE TITE Barber Shop,33.407188,-112.039718
Nashville,USA,2701 Jefferson St Ste 103 Nashville TN 37208,(615)3279452,TN,2701 Jefferson Street,37208,Showtime Barber Shop,36.16772647,-86.81881984
Greensboro,USA,709 E Market St #203 Greensboro NC 27401,(336)3030627,NC,709 East Market Street,27407,Hair Stadium Barber Shop,36.07241,-79.782109
White Plains,USA,170 Grand Street White Plains NY 10601 USA,(914)6073322,NY,170 Grand Street,10601,Joes Hair Salon,41.028325,-73.767821
Augusta,USA,3821 Washington Rd # E Augusta GA 30907,(706)4329633,GA,3821 Washington Road,30907,K B Barber Shop Inc,33.512713,-82.089006
Philadelphia,USA,2100 South 20th Street Philadelphia PA 19145,(215)2717098,PA,2100 South 20th Street,19145,Faheem's Hands Of Precision,39.9255074,-75.1795016
Denver,USA,2400 E Colfax Ave Denver CO 80206,(303)3208539,CO,2400 E Colfax Ave,80206,Hollywood Barber Shop,39.7398615,-104.9584547
Phoenix,USA,"542 W Southern Ave, Phoenix, AZ 85041",(602)3230511,AZ,542 W Southern Avenue,85041,Ageez Hair Center,33.392723,-112.080532
Memphis,USA,1416 Airways Blvd Memphis TN 38114,(901)4547701,TN,1416 Airways Boulevard,38114,Blitz Barber Shop,35.106935,-89.98467
